Stockist,Address 1:,Address 2:,Town/City,County,postcode,Country ID,Phone number,Generic email for website,website
Saltburn Surf Shop,"Lower Promenade,",,"Saltburn,","Cleveland,","TS12 1HQ,",GB,01287625321,evan-rogers@hotmail.co.uk,www.saltburn-surf.co.uk
Sands Marine,"Kinnego Marina,","Oxford Island,","Lurgan,","Co.Armagh,","BT66 6NJ,",GB,02838343911,sales@sandsmarine.co.uk,www.sandsmarine.co.uk
Scapa Scuba,"Lifeboat House,","Stromness,","Orkney,",,"KW16 3DA,",GB,01856851218,diving@scapascuba.co.uk,scapascuba.co.uk
Scuba Diving Scotland,"Pinkston watersports ,","75 North Canal Bank St ,","Glasgow ,",,"G4 9XP,",GB,0800 228 9099,info@scubadivingscotland.co.uk,www.scubadivingscotland.co.uk
Scuba Scene Ltd,"T/A AquaScene,","38 East Reach,","Taunton,","Somerset,","TA1 3ES,",GB,01823 336664,scubascene@aol.com,www.scubascenetaunton.com
Scuba Shack,"9 Wellington Rd ,",,"Bilston ,",,"WV14 6AA,",GB,01902 563709,diving@scubashack.co.uk,www.scubashack.co.uk
ScubaTeks Ltd,"Unit 40 Ketley Business Pk ,","Waterloo Rd  ,","Telford,",,"TF1 5JD,",GB,01952 257590,scubateks@hotmail.co.uk,www.scubateks.co.uk
Sea Kayak Oban,"6-8 Argyll Street,",,"OBAN,","Argyll & Bute,","PA34 5SG,",GB,01631565310,info@seakayakoban.com,www.seakayakoban.com
Seahorse Chandlery Ltd,"23 West George Street,",,"Glasgow,",,"G2 1BP,",GB,0141 530 9787,sales@seahorsechandlery.com,seahorsechandlery.com
Seamark Nunn Ltd,"400 High Road,","Trimley St Martin,","Felixstowe,",,"IP11 0SG,",GB,01394 451000,sales@seamarknunn.com,www.seamarknunn.com
Secret Spot Surf Shop,"4 Pavilion Terrace,",,"Scarborough,","N. Yorkshire,","YO11 2JU,",GB,01723500467,Info@secretspot.co.uk,www.secretspot.co.uk
Secret Spot Surf Shop,"Unit 8, Farfield Main Road ,","Wykeham,","Scarborough,",,"YO13 9QB,",GB,01723 867919,Info@secretspot.co.uk,www.secretspot.co.uk
Shark Attack Water Sports Ltd,"Unit 4 Eton Business Park,","Eton Hill Road, Redcliffe, ,","Manchester,",,"M26 2ZS,",GB,,daveberry1962@btinternet.com,www.sharkattackwatersports.co.uk
Sheffied Diving Services (SDS) Watersports Ltd,"66/70 Station Rd ,","Halfway ,","Sheffield ,",,"S20 3GW,",GB,0114 248 8688,info@sdswatersports.co.uk,sdswatersports.co.uk
Ship Shape Marine,"314-316 London Road,","Hazel Grove,","Stockport,",,"SK7 4RF,",GB,01614830666,shipshapemarine@hotmail.co.uk>,www.shipshapemarine.co.uk
Shrewsbury Marine,"Riverside Walk,","Frankwell Quay,","Shrewsbury,","Shropshire,","SY3 8LJ,",GB,01743242555,sales@shrewsburymarine.co.uk,shrewsburymarine.co.uk
Simply Scuba Ltd,"The Simply Group,","5 Jubilee Way,","Faversham,","Kent,","ME13 8GD,",GB,0844 567 7074,hello@simplyscuba.com,simplyscuba.com
Ski Supreme,"197 Loughan Road,",,"Coleraine,","Northern Ireland,","BT52 1UD,",GB,,ivormairs@gmail.com,www.wetsuitsdirect.net
Solent Divers (Portsmouth) Ltd,"122/128 Lake Road,",,"Portsmouth,","Hants,","PO1 4HH,",GB,02392814924,info@solentdiversportsmouth.ltd.uk,
Sorted Surf Shop Limited,"42 Sea Road,","Boscombe,","Bournemouth,","Dorset,","BH5 1BQ,",GB,01202399099 / 01202302943,website@sortedsurfshop.co.uk,sortedsurfshop.co.uk
South Coast Canoes Ltd,"Unit 14 Liberty Close,","Woolsbridge Industrial Estate,","Three Legend Cross, Wimborne,","Dorset,","BH21 6SY,",GB,01202 914224,sales@south-coast-canoes.co.uk,www.south-coast-canoes.co.uk
South Coast Marine,"46 Bridge Street,",,"Christchurch,","Dorset,","BH23 1EB,",GB,01202482695,southcoastmarine@btconnect.com,southcoastmarine.co.uk
Spinnaker Chandlery,"Embankment Road,",,"Bembridge,","Isle of Wight,","PO35 5NR,",GB,01983 874324,sales@spinnakerchandlery.co.uk,spinnakerchandlery.co.uk
Standard House Chandlery,"Standard House, Standard Road,","East Quay,","Wells next the Sea,","Norfolk,","NR23 1JY,",GB,01328 710593,standardhousechandlery@yahoo.co.uk,
Stellar Divers (Services) Limited,"4 Stirlin Court,","Saxilby Enterprise Park, Saxilby,","Lincoln,",,"LN1 2LR,",GB,01522 703116,simon@stellardivers.co.uk,stellardivers.co.uk
Stoney Cove Ltd,"Sapcote Road,",,"Stoney Stanton,","Leicestershire,","LE9 4DW,",GB,01455 273089,sales@underwaterworld.co.uk,www.underwaterworld.co.uk
Storrar Marine Limited,"181-183 Coast Road ,","Cochrane Park,","Newcastle upon Tyne,",,"NE7 7RR,",GB,01912661037,sales@storrarmarine.co.uk,www.storrarmarine.co.uk
Sunderland Scuba Centre,"4a Atkinson Buildings,","Trimdon Street,","Sunderland,",,"SR4 6AH,",GB,0191 567 0147,contact@sunderlandscubacentre.com,www.sunderlandscubacentre.com
Tallington Lakes Pro Shop,,"Barholme Road,","Tallington, Stamford,","Lincs,","PE9 4RJ,",GB,01778381154,sales@tallingtonlakeproshop.com,www.tallingtonlakeproshop.com
Tees Active Limited,"Tee Barrage International White Water Centre ,","Tees Barrage Way,","Stockton on Tees,",,"TS18 2QW,",GB,01642 678000,sales@nswatersports.com,nswatersports.com
Teign Diving Centre,"Quay Road,",,"Teignmouth,","Devon,","TQ14 8ER,",GB,01626 773965,info@teigndivingcentre.co.uk,diveshoponline.co.uk
The Beach Shop,"5 Westbourne Terrace,",,"Westward Ho!,","Devon,","EX39 1LL,",GB,01237424491,cathshuttleworth@hotmail.com,
The Big Blue Experience,"Newgale Beach,","Newgale,","Haverfordwest,","Pembrokeshire,","SA62 6AS,",GB,,booking@thebigblueexperience.com ,thebigblueexperience.com 
The Edinburgh Diving Centre Ltd.,"1 Watson Cresent ,",,"Edinburgh ,",,"EH11 1HD,",GB,01312 294 838,sales@edinburghdiving.co.uk,www.edinburghdiving.co.uk
The Kite Surf & Sup Co Ltd,"5 Kingston House,","56a Gardner Road,","Portslade, Brighton,",,"BN41 1AR,",GB,01273410580,info@thekitesurfandsup.co,thekitesurfandsup.co
The Marine Store,"Wyatts Chandlery,","128 Coast Road,","West Mersea,","Essex,","CO5 8PA,",GB,01206384745,chandlery@marinestore.co.uk,marinestore.co.uk
Thorpe Bay Marine,"198 Eastern Esplanade,","Thorpe Bay,","Southend on Sea,","Essex,","SS1 3AD,",GB,01702588065,thorpebaymarine@btconnect.com,thorpebaymarine.uk
TOMBSTONE SURF,"Unit N2, St Erth Industrial Estate ,",,"Hayle,","Cornwall,","TR27 6LP,",GB,01736 754114,tombstonesurf@europe.com,tombstonesurf.com
Tonys Marine Service,"10 Ballindreen Road,",,"Coleraine,","Co.Londonderry,","BT52 2JU,",GB,028 7035 6422,tonyhodges.tms@gmail.com,tonysmarineservice.co.uk
Torquay Chandlers,"Unit 2 Beacon Quay,",,"Torquay,","Devon,","TQ1 2BG,",GB,01803211854,sales@torquaychandlers.co.uk,torquaychandlers.co.uk
Total Adventure,"T/A Windermere Canoe Kayak,","Ferry Nab Road,","Bowness-on-Windermere,",,"LA23 3JH,",GB,01539444451,office@windermerecanoekayak.com,windermerecanoekayak.com
Trident UK Store,"Trident Quay ,","6 South Shore Road,","Gateshead,","Tyne & Wear,","NE8 3AE,",GB,01914 901 736,typhoon@tridentuk.com,www.tridentuk.com
Triton Scuba Limited,"161-165 Highland Road,"," Southsea,","Portsmouth,",,"PO4 9EY,",GB,02392838773,info@tritonscuba.co.uk,www.tritonscuba.co.uk
Undersea Adventures Limited,"7 Hayle Industrial Park,",,"Hayle,","Cornwall,","TR27 5JR,",GB,01736751066,team@undersea.co.uk,www.watersportswarehouse.co.uk
Up & Under Outdoor Gear Limited,"490 Cowbridge Road East,"," Victoria Park,","Cardiff,","S. Glamorgan,","CF5 1BL,",GB,02920578579,watersports@upandunder.co.uk,www.upandunder.co.uk
Uphill Wharf Campsite & Marine Centre,"Uphill Wharf,",,"Weston Super Mare,","Avon,","BS23 4XR,",GB,01934418617,info@uphillwharf.co.uk,www.uphillwharf.co.uk
Viking Marine (Goole) Ltd,"Albert Street,",,"Goole,","North Humberside,","DN14 5SY,",GB,01405 765737,laird@vikingmarine.co.uk,www.vikingmarine.co.uk
Wet & Dry Boardsports,"Lower Barn Farm,","London Road,","Rayleigh,","Essex,","SS6 9ET,",GB,01268569988,info@wetndryboardsports.com,wetndryboardsports.com
Whitstable Marine,"Sea Wall,",,"Whitstable,","Kent,","CT5 1BX,",GB,01227274168,sales@whitstablemarine.co.uk,whitstablemarine.co.uk
Whitstable Marine,,"Sea Wall ,","Whitstable ,","Kent,","CT5 1BX,",GB,01227 262525,sales@whitstablemarine.co.uk,www.whitstablemarine.co.uk
Windermere Aquatic Ltd,,"Glebe Road,","Bowness-on-Windermere,","Cumbria,","LA23 3HE,",GB,01539442121,shop@aquaticboatcentres.com,www.aquaticboatcentres.com
Wirral Sports & Leisure Limited,"164-190 Cleveland Street,","Birkenhead,",,"Merseyside,","CH41 3QQ,",GB,0151 666 6629,sales@wirralsports.co.uk,www.wirralsports.co.uk
Worthing Watersports,"St.Johns Parade,","Alinora Crescent,","Goring By Sea,","West Sussex,","BN12 4HJ,",GB,01903247742,sales@worthingwatersports.com,www.worthingwatersports.cm
Yachtmail Co Ltd,"Units 3 & 4, Admiral's Court,","Town Quay,","Lymington,","Hampshire,","SO41 3ET,",GB,01590672784,info@yachtmailchandlery.com,www.yachtmailchandlery.com
You Boat Chandlery,"Endeavour Quay,","Mumby Road,","Gosport,","Hampshire,","PO12 1AH,",GB,02392522226,websales@youboatmarine.com,youboatmarine.com
Ocean Leisure Ltd,"11-14 Northumberland Avenue,","Embankment Place,","London,",,"WC2N 5AQ,",GB,02079305050,sales@oceanleisure.co.uk,www.oceanleisure.co.uk
Escape Surfboards Ltd," Unit 12, Pityme Ind Est,","St Minver,","Wadebridge,","Cornwall,","PL27 6NS,",GB,01208863962,info@escapesurfboards.com,escapesurfboards.com
